x 	 u_exact
1.052210442088417741e+00	2.631373065320530280e-02
1.054210842168433748e+00	2.637692588038142993e-02
1.056211242248449755e+00	2.644018420268401393e-02
1.058211642328465762e+00	2.650350571414605838e-02
1.060212042408481770e+00	2.656689050898619620e-02
1.062212442488497777e+00	2.663033868161002182e-02
1.064212842568513784e+00	2.669385032660920309e-02
1.066213242648529791e+00	2.675742553876347962e-02
1.068213642728545798e+00	2.682106441303999667e-02
1.070214042808561805e+00	2.688476704459397126e-02
1.072214442888577812e+00	2.694853352876935837e-02
1.074214842968593819e+00	2.701236396109996107e-02
1.076215243048609826e+00	2.707625843730809834e-02
1.078215643128625834e+00	2.714021705330682543e-02
1.080216043208641841e+00	2.720423990519993396e-02
1.082216443288657626e+00	2.726832708928150772e-02
1.084216843368673633e+00	2.733247870203814323e-02
1.086217243448689640e+00	2.739669484014739531e-02
1.088217643528705647e+00	2.746097560047977559e-02
1.090218043608721654e+00	2.752532108009897449e-02
1.092218443688737661e+00	2.758973137626141714e-02
1.094218843768753668e+00	2.765420658641826179e-02
1.096219243848769676e+00	2.771874680821428960e-02
1.098219643928785683e+00	2.778335213948923688e-02
1.100220044008801690e+00	2.784802267827868327e-02
1.102220444088817697e+00	2.791275852281338565e-02
1.104220844168833704e+00	2.797755977152083240e-02
1.106221244248849711e+00	2.804242652302524341e-02
1.108221644328865718e+00	2.810735887614801420e-02
1.110222044408881725e+00	2.817235692990838203e-02
1.112222444488897732e+00	2.823742078352342588e-02
1.114222844568913739e+00	2.830255053640984286e-02
1.116223244648929747e+00	2.836774628818305999e-02
1.118223644728945754e+00	2.843300813865790033e-02
1.120224044808961761e+00	2.849833618785013734e-02
1.122224444888977768e+00	2.856373053597582867e-02
1.124224844968993775e+00	2.862919128345264852e-02
1.126225245049009782e+00	2.869471853089944346e-02
1.128225645129025789e+00	2.876031237913800886e-02
1.130226045209041796e+00	2.882597292919220067e-02
1.132226445289057803e+00	2.889170028228993381e-02
1.134226845369073811e+00	2.895749453986207200e-02
1.136227245449089818e+00	2.902335580354420408e-02
1.138227645529105825e+00	2.908928417517686604e-02
1.140228045609121832e+00	2.915527975680576311e-02
1.142228445689137839e+00	2.922134265068176973e-02
1.144228845769153846e+00	2.928747295926337202e-02
1.146229245849169853e+00	2.935367078521489148e-02
1.148229645929185860e+00	2.941993623140826131e-02
1.150230046009201867e+00	2.948626940092369253e-02
1.152230446089217875e+00	2.955267039704922993e-02
1.154230846169233882e+00	2.961913932328252841e-02
1.156231246249249889e+00	2.968567628332996478e-02
1.158231646329265896e+00	2.975228138110841414e-02
1.160232046409281903e+00	2.981895472074547193e-02
