x	u_pred	u_exact
2.472472429275512695e+00	9.639339447021484375e+00	6.113120079040527344e+00
2.482482433319091797e+00	9.687109947204589844e+00	6.162719249725341797e+00
2.492492437362670898e+00	9.735128402709960938e+00	6.212518692016601562e+00
2.502502441406250000e+00	9.783386230468750000e+00	6.262518405914306641e+00
2.512512445449829102e+00	9.831899642944335938e+00	6.312718868255615234e+00
2.522522449493408203e+00	9.880646705627441406e+00	6.363119602203369141e+00
2.532532453536987305e+00	9.929670333862304688e+00	6.413720607757568359e+00
2.542542457580566406e+00	9.978928565979003906e+00	6.464522361755371094e+00
2.552552461624145508e+00	1.002842807769775391e+01	6.515523910522460938e+00
2.562562465667724609e+00	1.007820034027099609e+01	6.566726207733154297e+00
2.572572469711303711e+00	1.012820720672607422e+01	6.618129253387451172e+00
2.582582473754882812e+00	1.017847156524658203e+01	6.669732093811035156e+00
2.592592477798461914e+00	1.022899246215820312e+01	6.721535682678222656e+00
2.602602720260620117e+00	1.027977371215820312e+01	6.773540973663330078e+00
2.612612724304199219e+00	1.033079051971435547e+01	6.825745105743408203e+00
2.622622728347778320e+00	1.038207530975341797e+01	6.878149986267089844e+00
2.632632732391357422e+00	1.043362712860107422e+01	6.930755138397216797e+00
2.642642736434936523e+00	1.048542308807373047e+01	6.983560562133789062e+00
2.652652740478515625e+00	1.053746318817138672e+01	7.036566734313964844e+00
2.662662744522094727e+00	1.058976364135742188e+01	7.089772701263427734e+00
2.672672748565673828e+00	1.064232540130615234e+01	7.143179416656494141e+00
2.682682752609252930e+00	1.069513988494873047e+01	7.196786880493164062e+00
2.692692756652832031e+00	1.074820709228515625e+01	7.250594139099121094e+00
2.702702760696411133e+00	1.080153656005859375e+01	7.304602146148681641e+00
2.712712764739990234e+00	1.085514068603515625e+01	7.358810424804687500e+00
2.722722768783569336e+00	1.090898513793945312e+01	7.413219451904296875e+00
2.732732772827148438e+00	1.096309280395507812e+01	7.467828273773193359e+00
2.742742776870727539e+00	1.101743125915527344e+01	7.522637844085693359e+00
2.752752780914306641e+00	1.107205772399902344e+01	7.577647686004638672e+00
2.762762784957885742e+00	1.112692070007324219e+01	7.632858276367187500e+00
2.772772789001464844e+00	1.118205547332763672e+01	7.688269138336181641e+00
2.782782793045043945e+00	1.123744583129882812e+01	7.743880271911621094e+00
