x 	 u_exact
1.116223244648929747e+00	1.080004943859407485e+00
1.118223644728945754e+00	1.081359424847982309e+00
1.120224044808961761e+00	1.082713179118259816e+00
1.122224444888977768e+00	1.084066208356814665e+00
1.124224844968993775e+00	1.085418514243308374e+00
1.126225245049009782e+00	1.086770098450530853e+00
1.128225645129025789e+00	1.088120962644439249e+00
1.130226045209041796e+00	1.089471108484199480e+00
1.132226445289057803e+00	1.090820537622224640e+00
1.134226845369073811e+00	1.092169251704215194e+00
1.136227245449089818e+00	1.093517252369197168e+00
1.138227645529105825e+00	1.094864541249561896e+00
1.140228045609121832e+00	1.096211119971103987e+00
1.142228445689137839e+00	1.097556990153059298e+00
1.144228845769153846e+00	1.098902153408143345e+00
1.146229245849169853e+00	1.100246611342588166e+00
1.148229645929185860e+00	1.101590365556180728e+00
1.150230046009201867e+00	1.102933417642298908e+00
1.152230446089217875e+00	1.104275769187949230e+00
1.154230846169233882e+00	1.105617421773802178e+00
1.156231246249249889e+00	1.106958376974229497e+00
1.158231646329265896e+00	1.108298636357339939e+00
1.160232046409281903e+00	1.109638201485014353e+00
